date,AC_POWER_TOTAL
2020-05-15,651437.7366666667
2020-05-16,554253.4604761904
2020-05-17,544393.0209157509
2020-05-18,519012.56523809524
2020-05-19,433554.7226465201
2020-05-20,344661.4061904762
2020-05-21,483021.3642857143
2020-05-22,487411.9411355311
2020-05-23,490450.5104761905
2020-05-24,468609.43904761906
2020-05-25,569576.2580952381
2020-05-26,563483.2328571428
2020-05-27,435466.16476190474
2020-05-28,487742.876043956
2020-05-29,485377.11535131535
2020-05-30,600856.5266666666
2020-05-31,544366.1414285714
2020-06-01,363681.303021978
2020-06-02,508269.6057142857
2020-06-03,406045.0761904762
2020-06-04,464789.5180952381
2020-06-05,507337.91333333333
2020-06-06,515131.85761904763
2020-06-07,462528.80904761906
2020-06-08,590644.6226373627
2020-06-09,541913.6352380952
2020-06-10,385086.4098701299
2020-06-11,335847.82216117217
2020-06-12,402905.019047619
2020-06-13,445507.76428571425
2020-06-14,495073.5033333333
2020-06-15,402322.1242857143
2020-06-16,470830.42714285717
2020-06-17,372436.3171428571
